Countries;Regions
AF-AGO;AF-WestCoast
AF-BDI;AF-SouthCentral
AF-BEN;AF-NorthWestCoast
AF-BFA;AF-NorthWestCoast
AF-BWA;AF-SouthCentral
AF-CAF;AF-Sahel
AF-CIV;AF-NorthWestCoast
AF-CMR;AF-WestCoast
AF-COD;AF-SouthCentral
AF-COG;AF-WestCoast
AF-CPV;AF-WestCoast
AF-DJI;AF-EastCoast
AF-DZA;AF-North
AF-EGY;AF-North
AF-ERI;AF-EastCoast
AF-ESH;AF-Sahel
AF-ETH;AF-EastCoast
AF-GAB;AF-WestCoast
AF-GHA;AF-NorthWestCoast
AF-GIN;AF-NorthWestCoast
AF-GMB;AF-NorthWestCoast
AF-GNB;AF-NorthWestCoast
AF-GNQ;AF-WestCoast
AF-KEN;AF-EastCoast
AF-LBR;AF-NorthWestCoast
AF-LBY;AF-North
AF-LSO;AF-South
AF-MAR;AF-North
AF-MDG;AF-EastCoast
AF-MLI;AF-Sahel
AF-MOZ;AF-EastCoast
AF-MRT;AF-Sahel
AF-MWI;AF-SouthCentral
AF-NAM;AF-South
AF-NER;AF-Sahel
AF-NGA;AF-NorthWestCoast
AF-RWA;AF-SouthCentral
AF-SDN;AF-Sahel
AF-SEN;AF-NorthWestCoast
AF-SLE;AF-NorthWestCoast
AF-SOM;AF-EastCoast
AF-SWZ;AF-South
AF-TCD;AF-Sahel
AF-TGO;AF-NorthWestCoast
AF-TUN;AF-North
AF-TZA;AF-EastCoast
AF-UGA;AF-SouthCentral
AF-ZAF;AF-South
AF-ZMB;AF-SouthCentral
AF-ZWE;AF-SouthCentral
AS-AFG;AS-South
AS-ARE;AS-MiddleEast
AS-BGD;AS-South
AS-BHR;AS-MiddleEast
AS-BRN;AS-SouthEast
AS-BTN;AS-South
AS-CHN-AN;AS-East
AS-CHN-BE;AS-East
AS-CHN-CH;AS-East
AS-CHN-EM;AS-East
AS-CHN-FU;AS-East
AS-CHN-GA;AS-East
AS-CHN-GD;AS-East
AS-CHN-GU;AS-East
AS-CHN-GX;AS-East
AS-CHN-HA;AS-East
AS-CHN-HB;AS-East
AS-CHN-HE;AS-East
AS-CHN-HJ;AS-East
AS-CHN-HK;AS-East
AS-CHN-HN;AS-East
AS-CHN-HU;AS-East
AS-CHN-JI;AS-East
AS-CHN-JS;AS-East
AS-CHN-JX;AS-East
AS-CHN-LI;AS-East
AS-CHN-MA;AS-East
AS-CHN-NI;AS-East
AS-CHN-QI;AS-East
AS-CHN-SC;AS-East
AS-CHN-SD;AS-East
AS-CHN-SH;AS-East
AS-CHN-SI;AS-East
AS-CHN-SX;AS-East
AS-CHN-TI;AS-East
AS-CHN-TJ;AS-East
AS-CHN-WM;AS-East
AS-CHN-XI;AS-East
AS-CHN-YU;AS-East
AS-CHN-ZH;AS-East
AS-IDN;AS-SouthEast
AS-IND-EA;AS-South
AS-IND-NE;AS-South
AS-IND-NO;AS-South
AS-IND-SO;AS-South
AS-IND-WE;AS-South
AS-IRN;AS-South
AS-IRQ;AS-MiddleEast
AS-ISR;AS-MiddleEast
AS-JOR;AS-MiddleEast
AS-JPN-CE;AS-East
AS-JPN-HO;AS-East
AS-JPN-KY;AS-East
AS-JPN-OK;AS-East
AS-JPN-SH;AS-East
AS-JPN-TO;AS-East
AS-KAZ;AS-Central
AS-KGZ;AS-Central
AS-KHM;AS-SouthEast
AS-KOR;AS-East
AS-KWT;AS-MiddleEast
AS-LAO;AS-SouthEast
AS-LBN;AS-MiddleEast
AS-LKA;AS-South
AS-MMR;AS-SouthEast
AS-MNG;AS-East
AS-MYS;AS-SouthEast
AS-NPL;AS-South
AS-OMN;AS-MiddleEast
AS-PAK;AS-South
AS-PHL;AS-SouthEast
AS-PRK;AS-East
AS-QAT;AS-MiddleEast
AS-RUS-CE;AS-RussiaBelarus
AS-RUS-FE;AS-RussiaBelarus
AS-RUS-MV;AS-RussiaBelarus
AS-RUS-NW;AS-RussiaBelarus
AS-RUS-SI;AS-RussiaBelarus
AS-RUS-SO;AS-RussiaBelarus
AS-RUS-UR;AS-RussiaBelarus
AS-SAU;AS-MiddleEast
AS-SGP;AS-SouthEast
AS-SYR;AS-MiddleEast
AS-THA;AS-SouthEast
AS-TJK;AS-Central
AS-TKM;AS-Central
AS-TLS;AS-SouthEast
AS-TUR;AS-MiddleEast
AS-TWN;AS-East
AS-UZB;AS-Central
AS-VNM;AS-SouthEast
AS-YEM;AS-MiddleEast
EU-ALB;EU-South
EU-ARM;AS-MiddleEast
EU-AUT;EU-Central
EU-AZE;AS-MiddleEast
EU-BEL;EU-Central
EU-BGR;EU-East
EU-BIH;EU-South
EU-BLR;AS-RussiaBelarus
EU-CHE;EU-Central
EU-CZE;EU-East
EU-DEU;EU-DEU
EU-DNK;EU-North
EU-ESP;EU-South
EU-EST;EU-North
EU-FIN;EU-North
EU-FRA;EU-Central
EU-GBR;EU-North
EU-GEO;AS-MiddleEast
EU-GRC;EU-South
EU-HRV;EU-South
EU-HUN;EU-East
EU-IRL;EU-North
EU-ISL;EU-North
EU-ITA;EU-South
EU-LTU;EU-North
EU-LUX;EU-Central
EU-LVA;EU-North
EU-MDA;EU-East
EU-MKD;EU-South
EU-MNE;EU-South
EU-NLD;EU-Central
EU-NOR;EU-North
EU-POL;EU-East
EU-PRT;EU-South
EU-ROU;EU-East
EU-SRB;EU-South
EU-SVK;EU-East
EU-SVN;EU-South
EU-SWE;EU-North
EU-UKR;EU-East
NA-BLZ;NA-Central
NA-CAN-AB;NA-North
NA-CAN-AR;NA-North
NA-CAN-BC;NA-North
NA-CAN-MB;NA-North
NA-CAN-NL;NA-North
NA-CAN-NO;NA-North
NA-CAN-ON;NA-North
NA-CAN-QC;NA-North
NA-CAN-SK;NA-North
NA-CRI;NA-Central
NA-CUB;NA-Caribbean
NA-DOM;NA-Caribbean
NA-GTM;NA-Central
NA-HND;NA-Central
NA-HTI;NA-Caribbean
NA-JAM;NA-Caribbean
NA-MEX;NA-Central
NA-NIC;NA-Central
NA-PAN;NA-Central
NA-SLV;NA-Central
NA-TTO;NA-Caribbean
NA-USA-AK;NA-North
NA-USA-AZ;NA-North
NA-USA-CA;NA-North
NA-USA-ER;NA-North
NA-USA-FR;NA-North
NA-USA-GU;NA-North
NA-USA-HA;NA-North
NA-USA-ME;NA-North
NA-USA-MW;NA-North
NA-USA-NE;NA-North
NA-USA-NW;NA-North
NA-USA-NY;NA-North
NA-USA-PR;NA-North
NA-USA-RA;NA-North
NA-USA-RE;NA-North
NA-USA-RM;NA-North
NA-USA-RW;NA-North
NA-USA-SA;NA-North
NA-USA-SC;NA-North
NA-USA-SE;NA-North
NA-USA-SN;NA-North
NA-USA-SS;NA-North
NA-USA-SV;NA-North
NA-USA-SW;NA-North
OC-AUS-NT;OC-AustraliaOceania
OC-AUS-QL;OC-AustraliaOceania
OC-AUS-SA;OC-AustraliaOceania
OC-AUS-SW;OC-AustraliaOceania
OC-AUS-TA;OC-AustraliaOceania
OC-AUS-VI;OC-AustraliaOceania
OC-AUS-WA;OC-AustraliaOceania
OC-FJI;OC-AustraliaOceania
OC-NZL;OC-AustraliaOceania
OC-PNG;OC-AustraliaOceania
SA-ARG;SA-EastCoast
SA-BOL;SA-EastCoast
SA-BRA-CN;SA-EastCoast
SA-BRA-CW;SA-EastCoast
SA-BRA-NE;SA-EastCoast
SA-BRA-NW;SA-EastCoast
SA-BRA-SE;SA-EastCoast
SA-BRA-SO;SA-EastCoast
SA-BRA-WE;SA-EastCoast
SA-CHL;SA-WestCoast
SA-COL;SA-EastCoast
SA-ECU;SA-WestCoast
SA-GUY;SA-EastCoast
SA-PER;SA-WestCoast
SA-PRY;SA-EastCoast
SA-SUR;SA-EastCoast
SA-URY;SA-EastCoast
SA-VEN;SA-EastCoast
