Countries;Regions
AF-AGO;Region1
AF-BDI;Region6
AF-BEN;Region1
AF-BFA;Region6
AF-BWA;Region1
AF-CAF;Region6
AF-CIV;Region1
AF-CMR;Region6
AF-COD;Region1
AF-COG;Region1
AF-DJI;Region6
AF-DZA;Region4
AF-EGY;Region5
AF-ERI;Region6
AF-ETH;Region1
AF-GAB;Region1
AF-GHA;Region1
AF-GIN;Region1
AF-GMB;Region1
AF-GNB;Region1
AF-GNQ;Region1
AF-KEN;Region6
AF-LBR;Region1
AF-LBY;Region4
AF-LSO;Region1
AF-MAR;Region4
AF-MDG;Region1
AF-MLI;Region6
AF-MOZ;Region1
AF-MRT;Region1
AF-MWI;Region1
AF-NAM;Region1
AF-NER;Region6
AF-NGA;Region1
AF-RWA;Region6
AF-SDN;Region4
AF-SEN;Region1
AF-SLE;Region1
AF-SOM;Region6
AF-SWZ;Region1
AF-TCD;Region6
AF-TGO;Region1
AF-TUN;Region6
AF-TZA;Region1
AF-UGA;Region6
AF-ZAF;Region1
AF-ZMB;Region1
AF-ZWE;Region1
AS-AFG;Region12
AS-ARE;Region4
AS-BGD;Region5
AS-BHR;Region4
AS-BRN;Region10
AS-BTN;Region5
AS-CHN;Region10
AS-IDN;Region10
AS-IND;Region5
AS-IRN;Region12
AS-IRQ;Region4
AS-ISR;Region9
AS-JOR;Region4
AS-JPN;Region10
AS-KAZ;Region12
AS-KGZ;Region12
AS-KHM;Region10
AS-KOR;Region10
AS-KWT;Region4
AS-LAO;Region10
AS-LBN;Region4
AS-LKA;Region5
AS-MMR;Region10
AS-MNG;Region11
AS-MYS;Region10
AS-NPL;Region5
AS-OMN;Region4
AS-PAK;Region12
AS-PHL;Region10
AS-QAT;Region4
AS-RUS;Region12
AS-SAU;Region4
AS-SGP;Region10
AS-SYR;Region4
AS-THA;Region10
AS-TJK;Region12
AS-TKM;Region12
AS-TUR;Region13
AS-TWN;Region10
AS-UZB;Region12
AS-VNM;Region10
AS-YEM;Region4
EU-ALB;Region3
EU-ARM;Region12
EU-AUT;Region14
EU-AZE;Region12
EU-BEL;Region15
EU-BGR;Region11
EU-BIH;Region3
EU-BLR;Region12
EU-CHE;Region23
EU-CZE;Region3
EU-DEU;Region16
EU-DNK;Region17
EU-ESP;Region22
EU-EST;Region22
EU-FIN;Region22
EU-FRA;Region18
EU-GBR;Region19
EU-GEO;Region3
EU-GRC;Region20
EU-HRV;Region11
EU-HUN;Region21
EU-IRL;Region20
EU-ISL;Region23
EU-ITA;Region16
EU-LTU;Region22
EU-LUX;Region22
EU-LVA;Region22
EU-MDA;Region3
EU-MKD;Region3
EU-MNE;Region3
EU-NLD;Region22
EU-NOR;Region23
EU-POL;Region18
EU-PRT;Region22
EU-ROU;Region11
EU-SRB;Region3
EU-SVK;Region21
EU-SVN;Region22
EU-SWE;Region9
EU-UKR;Region3
NA-CAN;Region8
NA-CRI;Region8
NA-CUB;Region8
NA-DOM;Region8
NA-GTM;Region8
NA-HND;Region8
NA-HTI;Region8
NA-JAM;Region8
NA-MEX;Region8
NA-NIC;Region8
NA-PAN;Region8
NA-SLV;Region8
NA-TTO;Region8
NA-USA;Region2
OC-AUS;Region10
OC-NZL;Region10
OC-PNG;Region10
SA-ARG;Region8
SA-BOL;Region8
SA-BRA;Region8
SA-CHL;Region8
SA-COL;Region8
SA-ECU;Region8
SA-GUY;Region8
SA-PER;Region8
SA-PRY;Region8
SA-SUR;Region8
SA-URY;Region8
SA-VEN;Region8
