name;Cost of Capital
AF-AGO;0.11
AF-BDI;0.11
AF-BEN;0.11
AF-BFA;0.058
AF-BWA;0.11
AF-CAF;0.11
AF-CIV;0.11
AF-CMR;0.11
AF-COD;0.11
AF-COG;0.11
AF-CPV;0.11
AF-DJI;0.11
AF-DZA;0.11
AF-EGY;0.088
AF-ERI;0.11
AF-ESH;0.11
AF-ETH;0.084
AF-GAB;0.11
AF-GHA;0.095
AF-GIN;0.11
AF-GMB;0.11
AF-GNB;0.11
AF-GNQ;0.11
AF-KEN;0.084
AF-LBR;0.11
AF-LBY;0.11
AF-LSO;0.11
AF-MAR;0.067
AF-MDG;0.11
AF-MLI;0.11
AF-MOZ;0.11
AF-MRT;0.11
AF-MUS;0.046
AF-MWI;0.11
AF-NAM;0.042
AF-NER;0.11
AF-NGA;0.11
AF-RWA;0.056
AF-SDN;0.11
AF-SEN;0.043
AF-SLE;0.11
AF-SOM;0.11
AF-SWZ;0.11
AF-TCD;0.11
AF-TGO;0.11
AF-TUN;0.09300000000000001
AF-TZA;0.11
AF-UGA;0.069
AF-ZAF;0.052
AF-ZMB;0.11
AF-ZWE;0.11
AS-AFG;0.21
AS-ARE;0.05599999999999999
AS-BGD;0.068
AS-BHR;0.21
AS-BRN;0.21
AS-BTN;0.21
AS-CHN;0.025
AS-IDN;0.06
AS-IND;0.059
AS-IRN;0.114
AS-IRQ;0.096
AS-ISR;0.037
AS-JOR;0.082
AS-JPN;0.023
AS-KAZ;0.063
AS-KGZ;0.21
AS-KHM;0.21
AS-KOR;0.21
AS-KWT;0.053
AS-LAO;0.21
AS-LBN;0.21
AS-LKA;0.103
AS-MMR;0.095
AS-MNG;0.08
AS-MYS;0.054
AS-NPL;0.21
AS-OMN;0.21
AS-PAK;0.092
AS-PHL;0.057
AS-PRK;0.21
AS-QAT;0.21
AS-RUS;0.063
AS-SAU;0.062
AS-SGP;0.046
AS-SYR;0.21
AS-THA;0.045
AS-TJK;0.21
AS-TKM;0.21
AS-TLS;0.21
AS-TUR;0.075
AS-TWN;0.21
AS-UZB;0.21
AS-VNM;0.06
AS-YEM;0.172
EU-ALB;0.104
EU-ARM;0.104
EU-AUT;0.034
EU-AZE;0.07
EU-BEL;0.019
EU-BGR;0.048
EU-BIH;0.104
EU-BLR;0.099
EU-CHE;0.017
EU-CYP;0.049
EU-CZE;0.037
EU-DEU;0.013
EU-DNK;0.021
EU-ESP;0.036
EU-EST;0.051
EU-FIN;0.048
EU-FRA;0.018
EU-GBR;0.02
EU-GEO;0.104
EU-GRC;0.041
EU-HRV;0.053
EU-HUN;0.037
EU-IRL;0.055
EU-ISL;0.104
EU-ITA;0.031
EU-KOS;0.104
EU-LTU;0.057
EU-LUX;0.031
EU-LVA;0.055
EU-MDA;0.104
EU-MKD;0.104
EU-MLT;0.018
EU-MNE;0.088
EU-NLD;0.014
EU-NOR;0.045
EU-POL;0.039
EU-PRT;0.042
EU-ROU;0.051
EU-SRB;0.104
EU-SVK;0.038
EU-SVN;0.042
EU-SWE;0.032
EU-UKR;0.099
NA-BLZ;0.116
NA-CAN;0.043
NA-CRI;0.064
NA-CUB;0.116
NA-DOM;0.056
NA-GTM;0.063
NA-HND;0.046
NA-HTI;0.116
NA-JAM;0.072
NA-MEX;0.072
NA-NIC;0.092
NA-PAN;0.043
NA-SLV;0.063
NA-TTO;0.116
NA-USA;0.043
OC-AUS;0.029
OC-ATA;0.043
OC-FJI;0.043
OC-NZL;0.043
OC-PNG;0.043
SA-ARG;0.138
SA-BOL;0.087
SA-BRA;0.063
SA-CHL;0.035
SA-COL;0.056
SA-ECU;0.122
SA-GUF;0.187
SA-GUY;0.187
SA-PER;0.052
SA-PRY;0.187
SA-SUR;0.187
SA-URY;0.042
SA-VEN;0.187
AS-CHN-SH;0.025
AS-IND-WE;0.059
AS-JPN-TO;0.023
NA-USA-CA;0.043
NA-USA-HA;0.043
NA-USA-SA;0.043
NA-USA-SV;0.043
OC-AUS-SW;0.029
OC-AUS-WA;0.029
SA-BRA-SE;0.063
