Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.1289518141302593
Burundi;AF-BDI;AF-Central;BDI;AF;0.2590288864000044
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.10408570008327711
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.14010122566939823
Botswana;AF-BWA;AF-South;BWA;AF;0.06616650285998954
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.2590288864000044
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.08737283504868434
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.1384505738559937
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.12759585295481102
Congo;AF-COG;AF-Central;COG;AF;0.1577400477141802
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.26200196520091124
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.08720271462656194
Egypt;AF-EGY;AF-EGY;EGY;AF;0.1416018182270387
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.2590288864000044
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.15705269155267412
Gabon;AF-GAB;AF-Central;GAB;AF;0.15705269155267412
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.15877108195643932
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.15877108195643932
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.10472571912991543
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.1289518141302593
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.2560558075990975
Kenya;AF-KEN;AF-Central;KEN;AF;0.139350929390578
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.15877108195643932
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.07121966417084737
Lesotho;AF-LSO;AF-South;LSO;AF;0.26200196520091124
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.08010908582373549
Madagascar;AF-MDG;AF-Central;MDG;AF;0.11826343610555622
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.15705269155267412
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.15636533539116806
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.26200196520091124
Malawi;AF-MWI;AF-Central;MWI;AF;0.15705269155267412
Namibia;AF-NAM;AF-South;NAM;AF;0.10365902071885155
Niger;AF-NER;AF-WestSahara;NER;AF;0.16880776798844113
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.139350929390578
Rwanda;AF-RWA;AF-Central;RWA;AF;0.1163253084363465
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.2560558075990975
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.10408570008327711
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.15877108195643932
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.16997774567002236
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.11705210631230016
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.2560558075990975
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.12840942966008
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.1622078627639697
Tanzania, United Republic of;AF-TZA;AF-Central;TZA;AF;0.10408570008327711
Uganda;AF-UGA;AF-Central;UGA;AF;0.12759585295481102
South Africa;AF-ZAF;AF-South;ZAF;AF;0.08703259420443954
Zambia;AF-ZMB;AF-Central;ZMB;AF;0.15705269155267412
Zimbabwe;AF-ZWE;AF-Central;ZWE;AF;0.15886731181905017
Afghanistan;AS-AFG;AS-SouthStans;AFG;AS;0.26497504400181815
United Arab Emirates;AS-ARE;AS-Arabia;ARE;AS;0.05897027893713126
Bangladesh;AS-BGD;AS-SouthEast;BGD;AS;0.11644644141567212
Bahrain;AS-BHR;AS-Arabia;BHR;AS;0.1231087552785805
Brunei Darussalam;AS-BRN;AS-SouthEast;BRN;AS;0.05932586054499938
Bhutan;AS-BTN;AS-SouthEast;BTN;AS;0.26200196520091124
China;AS-CHN;AS-CHN;CHN;AS;0.05993350878609616
Indonesia;AS-IDN;AS-SouthIslands;IDN;AS;0.07462755225806567
India;AS-IND;AS-IND;IND;AS;0.0769798767725674
Iran, Islamic Republic of;AS-IRN;AS-IRN;IRN;AS;0.1289518141302593
Iraq;AS-IRQ;AS-West;IRQ;AS;0.1438527070634994
Israel;AS-ISR;AS-West;ISR;AS;0.07083181419292532
Jordan;AS-JOR;AS-West;JOR;AS;0.0953083425711501
Japan;AS-JPN;AS-KoreaJapan;JPN;AS;0.05944329878361679
Kazakhstan;AS-KAZ;AS-NorthStans;KAZ;AS;0.07121966417084737
Kyrgyzstan;AS-KGZ;AS-NorthStans;KGZ;AS;0.13301969765660412
Cambodia;AS-KHM;AS-SouthEast;KHM;AS;0.11826343610555622
Korea, Republic of;AS-KOR;AS-KoreaJapan;KOR;AS;0.05727735868568587
Kuwait;AS-KWT;AS-West;KWT;AS;0.060967707103563216
